"boat","bird","birds_total"
"Arndis","atlantic_puffin",0
"Arndis","black_guillemot",4
"Arndis","common_eider",55
"Arndis","common_murre",0
"Arndis","european_shag",1
"Arndis","great_cormorant",0
"Arndis","long.tailed_duck",9
"Arndis","northern_fulmar",0
"Arndis","red.throated_loon",0
"Bara","atlantic_puffin",1
"Bara","black_guillemot",3
"Bara","common_eider",26
"Bara","common_murre",6
"Bara","european_shag",0
"Bara","great_cormorant",3
"Bara","long.tailed_duck",0
"Bara","northern_fulmar",0
"Bara","red.throated_loon",0
"Fengsaell","atlantic_puffin",0
"Fengsaell","black_guillemot",0
"Fengsaell","common_eider",0
"Fengsaell","common_murre",11
"Fengsaell","european_shag",0
"Fengsaell","great_cormorant",0
"Fengsaell","long.tailed_duck",0
"Fengsaell","northern_fulmar",0
"Fengsaell","red.throated_loon",0
"Kongsey","atlantic_puffin",0
"Kongsey","black_guillemot",9
"Kongsey","common_eider",26
"Kongsey","common_murre",1
"Kongsey","european_shag",1
"Kongsey","great_cormorant",0
"Kongsey","long.tailed_duck",0
"Kongsey","northern_fulmar",1
"Kongsey","red.throated_loon",0
"Saefugl","atlantic_puffin",0
"Saefugl","black_guillemot",8
"Saefugl","common_eider",33
"Saefugl","common_murre",15
"Saefugl","european_shag",0
"Saefugl","great_cormorant",0
"Saefugl","long.tailed_duck",0
"Saefugl","northern_fulmar",0
"Saefugl","red.throated_loon",0
"Sigurey","atlantic_puffin",0
"Sigurey","black_guillemot",4
"Sigurey","common_eider",11
"Sigurey","common_murre",6
"Sigurey","european_shag",0
"Sigurey","great_cormorant",4
"Sigurey","long.tailed_duck",1
"Sigurey","northern_fulmar",0
"Sigurey","red.throated_loon",1
"Simma","atlantic_puffin",0
"Simma","black_guillemot",1
"Simma","common_eider",0
"Simma","common_murre",9
"Simma","european_shag",0
"Simma","great_cormorant",0
"Simma","long.tailed_duck",0
"Simma","northern_fulmar",0
"Simma","red.throated_loon",0
