"boat","fishing_trip_id","departure_date","wind_direction","wind_speed_m_s1","departure_time","return_time","trossa_id","with_leb","net_in_trossa","net_mesh_size_inches","net_height_meshes","net_length_meters","latitude_dms","longitude_dms","soaking_nights","min_depth_fathoms","max_depth_fathoms","lumpfish_per_trossa","birds_per_trossa","black_guillemot","european_shag","great_cormorant","common_eider","common_murre","long.tailed_duck","northern_fulmar","red.throated_loon","atlantic_puffin","harbour_seal","grey_seal","harp_seal","white_beaked_dolphin","bottlenose_dolphin","harbour_porpoise","biopol_onboard","comments","lumpfish_per_day","birds_per_day","mammals_per_day","cumulative_lumpfish","cumulative_birds","cumulative_mammals","date"
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","4","",6,10.5,20,69,"65d47m50s","21d15m9s",1,17,37,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","5","",6,10.5,20,69,"65d48m90s","21d16m6s",1,16,27,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","6","",6,10.5,20,69,"65d49m10s","21d16m7s",1,19,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","7","",6,10.5,20,69,"65d49m60s","21d16m3s",1,9,24,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","8","",6,10.5,20,69,"65d50m10s","21d14m9s",1,14,21,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","9","",6,10.5,20,69,"65d50m80s","21d14m52s",1,9,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","RA","LEB",6,10.5,20,69,"65d50m00s","21d13m0s",1,22,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","10","",6,10.5,20,69,"65d49m50s","21d15m0s",1,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","11","",6,10.5,12,69,"65d48m70s","21d14m8s",1,27,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
"Kongsey",1,"2022.03.21","0","1-3","06:30","18:00","12","",6,10.5,12,69,"65d46m60s","21d13m2s",1,14,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",639,1,1,639,1,1,2022-03-21
