"boat","mammal","mammals_total"
"Arndis","bottlenose_dolphin",0
"Arndis","grey_seal",0
"Arndis","harbour_porpoise",0
"Arndis","harbour_seal",0
"Arndis","harp_seal",0
"Arndis","white_beaked_dolphin",0
"Bara","bottlenose_dolphin",0
"Bara","grey_seal",0
"Bara","harbour_porpoise",0
"Bara","harbour_seal",1
"Bara","harp_seal",0
"Bara","white_beaked_dolphin",0
"Fengsaell","bottlenose_dolphin",0
"Fengsaell","grey_seal",2
"Fengsaell","harbour_porpoise",2
"Fengsaell","harbour_seal",0
"Fengsaell","harp_seal",0
"Fengsaell","white_beaked_dolphin",0
"Kongsey","bottlenose_dolphin",0
"Kongsey","grey_seal",0
"Kongsey","harbour_porpoise",0
"Kongsey","harbour_seal",3
"Kongsey","harp_seal",0
"Kongsey","white_beaked_dolphin",0
"Saefugl","bottlenose_dolphin",2
"Saefugl","grey_seal",0
"Saefugl","harbour_porpoise",0
"Saefugl","harbour_seal",1
"Saefugl","harp_seal",1
"Saefugl","white_beaked_dolphin",1
"Sigurey","bottlenose_dolphin",0
"Sigurey","grey_seal",0
"Sigurey","harbour_porpoise",1
"Sigurey","harbour_seal",0
"Sigurey","harp_seal",0
"Sigurey","white_beaked_dolphin",0
"Simma","bottlenose_dolphin",0
"Simma","grey_seal",1
"Simma","harbour_porpoise",7
"Simma","harbour_seal",5
"Simma","harp_seal",2
"Simma","white_beaked_dolphin",0
